n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
39100,28196,26547,59114,38887,47106,71399
39200,56084,51641,52546,52823,60802,70992
39300,60538,61010,53817,65853,59366,74040
39400,77342,62494,40907,48329,45197,87788
39500,48704,26235,22786,34948,39437,37486
39600,31988,35045,40462,29317,31420,69852
39700,68116,48718,57696,79743,39409,46236
39800,44847,40668,62435,50591,41937,42742
39900,30722,50167,70887,78529,51033,90244
40000,61432,51502,51896,56139,65212,108425
40100,79643,76199,53355,57584,51171,40165
40200,26890,25803,25129,71717,85461,108198
40300,83662,74814,77403,86859,88917,108183
40400,86487,79937,82927,85911,86850,118356
40500,80452,76019,78617,88968,87787,112991
40600,85086,79705,80644,96148,92316,112122
40700,44195,37531,57484,76023,39854,62150
40800,52726,56216,33619,33298,29448,33870
40900,25312,25719,24524,34889,48434,47090
41000,24685,22681,23848,30810,58945,45755
41100,39400,24364,27989,28464,31033,36589
41200,27732,25110,26124,57081,32837,43160
41300,32489,33093,29557,30266,25744,44605
41400,61482,23827,23473,25145,29126,34679
41500,32551,26121,25912,27438,41736,79171
41600,59894,27477,23519,38665,48673,35711
41700,26103,27958,38042,37953,28255,42807
41800,56237,36977,56488,54355,40109,51998
41900,25473,26071,24324,27253,27950,35655
42000,24679,26500,27987,31733,33868,41761
42100,30702,35159,43957,29570,28930,36538
42200,25329,22766,24341,27504,35771,85815
42300,86126,44446,44758,27941,28745,36670
42400,41739,47160,40898,47927,45702,36324
42500,26609,27421,30384,30568,30568,53243
42600,47716,35106,27113,28446,28251,36108
42700,25313,23190,23836,25749,31612,60041
42800,57116,30349,24612,48717,42631,37437
42900,34786,30151,26762,27302,31748,36786
43000,27082,33078,36652,35468,36876,47483
43100,31751,26162,31917,28675,28226,34814
43200,40787,78091,76304,80116,61391,67804
43300,66919,47649,66667,35368,48979,55242
43400,48469,40887,29453,34210,32202,40804
43500,67177,77918,88209,84083,96389,127600
43600,92812,86030,88305,79934,98826,124039
43700,92119,68338,44412,39905,32548,39818
43800,29023,25298,47791,45483,37843,93587
43900,77400,70731,62796,42678,64066,56337
44000,56569,30040,29093,28022,61795,93477
44100,55345,34578,51527,51156,46271,59490
44200,35507,28988,26904,42329,102254,125543
44300,92595,84272,93442,99371,98051,96704
44400,85878,82758,68394,63611,96113,306218
44500,90722,83391,81780,64638,64604,120244
44600,76557,87225,81556,93759,76381,82827
44700,98075,89421,83434,91943,94106,131118
44800,96093,91836,87598,89651,100374,137346
44900,98537,89220,85917,87039,99114,131926
45000,92682,90056,47329,53419,55120,91515
45100,62859,48188,46238,79625,106544,114371
45200,63203,86870,73561,41058,44825,59536
45300,35990,48897,37230,32363,35971,44143
45400,36022,30160,42293,49620,47182,61639
45500,38465,32243,34670,29334,33373,53367
45600,76868,67355,33327,30603,37433,46788
45700,40482,27712,28326,30144,31030,40232
45800,28858,26979,26005,32417,41003,51197
45900,33260,27156,25422,28693,36787,40893
46000,28668,33875,27662,28225,32165,41405
46100,37850,42727,41171,29779,34043,40334
46200,34165,44041,29701,28581,43427,45672
46300,30501,28637,36842,33961,34503,42660
46400,29044,27470,25676,31004,37426,40891
46500,32233,27191,26816,29669,45109,66102
46600,33892,27441,27324,32791,36887,45747
46700,33631,26918,28097,28246,31799,46549
46800,38972,34527,35351,30250,33143,43137
46900,29693,28246,26711,28661,33211,42482
47000,29419,27938,28215,35467,42509,47542
47100,28809,29881,27787,27839,33243,44228
47200,29220,27088,32207,29173,32171,48810
47300,36564,35791,28011,29527,34470,43512
47400,28673,29715,29750,30060,32383,44026
47500,28739,28284,36015,37675,39193,42801
47600,30325,28819,27551,29234,34268,46897
47700,30000,27394,30533,31011,38758,54680
47800,33017,27985,27363,29836,33550,43572
47900,33916,29701,28217,29596,33365,42198
48000,31489,39944,33090,31895,33244,43519
48100,34547,29837,33380,29998,32964,45269
48200,31576,28553,31654,52159,41870,47274
48300,32718,28465,29257,30477,36907,44778
48400,30890,30589,29077,32918,40995,73952
48500,39495,31140,29780,32081,38754,52334
48600,32441,34358,29014,33157,36387,65732
48700,40389,37108,31758,41030,46461,55263
48800,35230,41416,56489,41664,42915,66760
48900,54123,41915,35330,32005,40093,51777
49000,33193,31825,34481,37306,47492,66520
49100,41182,35600,36590,34528,39988,50196
49200,40322,32253,33476,36821,41156,68626
49300,46009,30775,32551,36969,41072,54218
49400,34948,33520,33917,46148,40305,69457
49500,44990,34237,37156,37995,40320,57294
49600,36931,32657,31946,32887,39481,66067
49700,45697,32743,34942,41021,38748,54061
49800,37779,31973,35471,39997,49182,77056
49900,50072,33527,32085,33945,41186,52157
50000,37691,32132,32624,34895,40910,69893
50100,41540,37248,31234,31794,40054,49406
50200,33736,36161,30639,37517,39187,55919
50300,44076,41218,42351,35988,38156,58944
50400,37491,33170,31167,33499,38718,61024
50500,45261,43466,35233,32683,40000,50750
50600,36720,32602,33213,40979,38993,59524
50700,43311,41266,33410,32542,37203,52161
50800,34971,33234,30666,40039,42250,56255
50900,50815,38858,35089,34751,38786,54997
51000,36500,33105,34156,38177,37915,55066
51100,45778,44682,39088,34172,40343,53377
51200,35160,36587,31728,34200,38577,53354
51300,48659,46059,33646,31880,38423,55112
51400,50281,37322,33465,37545,48585,55449
51500,51170,47522,39041,44059,49807,57964
51600,42933,30616,33921,32375,35908,56991
51700,45144,35083,36646,33006,38805,47443
51800,36811,38484,34092,37690,50086,51025
51900,51422,43469,34309,36887,39612,51544
52000,38602,32876,31611,35595,39512,42958
52100,46926,43413,37026,35118,41825,41405
52200,37399,32844,32736,33702,41976,41181
52300,52797,52552,42233,36405,41292,40971
52400,37862,37691,33351,37410,41643,39191
52500,38662,43020,41148,54182,46909,41591
52600,38654,33838,33088,35391,44476,42577
52700,35376,39635,45683,41222,42584,41291
52800,35872,36872,33764,35685,43699,40434
52900,37445,37602,45321,44055,57823,49441
53000,48049,49185,47401,37583,44514,51087
53100,44997,48477,46579,36797,43768,43711
53200,38152,55425,61361,56043,90248,118536
53300,101488,104293,94574,91769,93860,122152
53400,110807,76432,72691,59339,60876,54763
53500,38728,40979,54955,59546,131085,131805
53600,40819,40002,53678,80572,91692,92139
53700,113288,107737,49719,36752,92178,141394
53800,125988,108978,108534,123701,99589,53115
53900,37135,32169,34160,34305,55425,53244
54000,33622,33346,33961,42336,47559,40452
54100,34580,33697,37393,35214,39839,41053
54200,35906,34542,54982,74414,52612,61670
54300,52121,57599,39918,37191,41497,53017
54400,70744,103997,59807,64639,39384,38225
54500,38251,31650,31274,33882,40859,40523
54600,35872,32865,40393,43433,43135,41584
